Key,Type,Desc,Chinese,English
10119,Text,,狩猎活动,null
10120,Text,,"活动期间不消耗体力,击败怪物数量越多获得奖励越丰厚",null
10121,Text,,每周二、四、六 21:30开启,null
10122,Text,,竞技场,null
10123,Text,,"玩家之间1对1的竞技挑战,展现自身真正硬实力",null
10124,Text,,每周一、三、五、七 22:00开启,null
10125,Text,,家族入侵,null
10126,Text,,"进入家族地图,打败入侵者,获得丰厚奖励",null
10127,Text,,每周二、四、六 22:00开启,null
10128,Text,,活跃度,null
10129,Text,,60活跃度,null
10130,Text,,捐献额度,null
10131,Text,,最低捐献10万金币...,null
10132,Text,,我要捐献,null
10133,Text,,当前已捐献：10000金币,null
10134,Text,,捐献金币在争霸战中作为奖励进行分配,null
10135,Text,,捐献排行榜每天0:00清空,null
10136,Text,,捐献第1名,null
10137,Text,,"游戏内爆率提升25%,对怪伤害增加30%,暴击率+5%",null
10138,Text,,王者捐献,null
10139,Text,,捐献第2名,null
10140,Text,,"游戏内爆率提升20%,对怪伤害增加25%",null
10141,Text,,钻石捐献,null
10142,Text,,捐献第3名,null
10143,Text,,"游戏内爆率提升15%,对怪伤害增加20%",null
10144,Text,,黄金捐献,null
10145,Text,,捐献第4-5名,null
10146,Text,,"游戏内爆率提升10%,对怪伤害增加15%",null
10147,Text,,白银捐献,null
10148,Text,,捐献第6-10名,null
10149,Text,,"游戏内爆率提升5%,对怪伤害增加10%",null
10150,Text,,青铜捐献,null
10151,Text,,其他: 只要捐献最低可获得爱心捐献状态,null
10152,Text,,捐献排行,null
10153,Text,,我已捐献10000000金币,null
10154,Text,,家族争霸赛,null
10155,Text,,活动开启时间： 4月11日19点30开启,null
10156,Text,,累计总奖金： 100万金币,null
10157,Text,,1. 总奖励的20%将作为手续费累计到下次争霸赛中。\n2. 获胜家族的成员将平分奖池内的60%奖励。\n3. 其他参与家族的成员将平分奖池内40%奖励。\n4. 玩家在争霸捐献中的50%将自动累计到奖池中。,null
10158,Text,,已报名家族：,null
10159,Text,,报名家族战,null
10160,Text,,进入争霸,null
10161,Text,,创建副本,null
10162,Text,,组队副本开启时间  19:00 - 24:00,null
10163,Text,,副本次数:0/3,null
10164,Text,,副本列表,null
10165,Text,,协助副本次数:0/3,null
10166,Text,,帮助副本提示：\n1.参与帮助副本，高于副本等级10级将消耗帮助次数，否则将消耗正常的副本次数。\n2.高于副本等级10级的帮助玩家可获得友爱奖章，可以兑换稀有的游戏道具。,null
10167,Text,,人机,null
10168,Text,,队长,null
10169,Text,,11级,null
10170,Text,,等待其他玩家加入,null
10171,Text,,战力:99999,null
10172,Text,,战士,null
10173,Text,,成员,null
10174,Text,,队员,null
10175,Text,,等待加入,null
10176,Text,,进入副本,null
10177,Text,,发送喊话,null
10178,Text,,离开队伍,null
10179,Text,,申请列表,null
10180,Text,,添加机器人,null
10181,Text,,挑战副本:深海副本,null
10182,Text,,等级：20,null
10183,Text,,提示:在副本帮助模式下的大号会获得友爱奖章。,null
10184,Text,,商店,null
10185,Text,,拥有:,null
10186,Text,,角色,null
10187,Text,,背包,null
10188,Text,,战力: 9999,null
10189,Text,,职业: 魔之战士,null
10190,Text,,攻击1-1,null
10191,Text,,洗练装备,null
10192,Text,,洗练消耗,null
10193,Text,,使用道具,null
10194,Text,,重铸次数:,null
10195,Text,,1. 在这里放入装备洗练对应装备的极品属性。\n2. 洗练后装备获得的极品属性完全随机。\n3. 装备等级越高，洗练消耗的金币越高，获得的\n极品属性越好。\n4. 洗练有一定概率失败，失败装备属性不变。\n5. 洗炼有概率出现幸运值属性。,null
10196,Text,,属性转移,null
10197,Text,,放入装备,null
10198,Text,,"只有传承增幅才可以转移,普通增幅无法转移",null
10199,Text,,左边的装备传承增幅属性会清空转移至右边的装备,null
10200,Text,,转移消耗,null
10201,Text,,拖动左侧的装备放入此处,null
10202,Text,,武器,null
10203,Text,,武器的名字啊啊,null
10204,Text,,类型：剑,null
10205,Text,,部位：手套,null
10206,Text,,等级：10,null
10207,Text,,未绑定,null
10208,Text,,+11强化,null
10209,Text,,基础属性,null
10210,Text,,攻击,null
10211,Text,,附带宝石,null
10212,Text,,套装属性,null
10213,Text,,黄金套装(0/4),null
10214,Text,,点击查看部件,null
10215,Text,,萨雷斯之,null
10216,Text,,萨雷斯之怒（1/4）,null
10217,Text,,提示:穿戴后激活套装,null
10218,Text,,鉴定属性,null
10219,Text,,隐藏技能,null
10220,Text,,隐藏技能提示框,null
10221,Text,,制造者：星星点灯,null
10222,Text,,取消回炼,null
10223,Text,,回 炼,null
10224,Text,,这并不是一个普通的武器,null
10225,Text,,存 入,null
10226,Text,,仓库取出,null
10227,Text,,出售,null
10228,Text,,装备,null
10229,Text,,卸下装备,null
10230,Text,,头部,null
10231,Text,,脸,null
10232,Text,,眼睛,null
10233,Text,,眉毛,null
10234,Text,,头饰,null
10235,Text,,脸部,null
10236,Text,,上衣,null
10237,Text,,服饰,null
10238,Text,,鞋子,null
10239,Text,,形象展示,null
10240,Text,,提示：时装碎片可使用珍品羽毛在主城进行兑换。,null
10241,Text,,点击一键加入,null
10242,Text,,游戏官方交流QQ群:473268983,null
10243,Text,,"加入官方群领取新手福利,与其他玩家共同交流喔!",null
10244,Text,,QQ分享,null
10245,Text,,点击分享,null
10246,Text,,邀请QQ好友,null
10247,Text,,微信分享,null
10248,Text,,邀请微信好友,null
10249,Text,,一键加入,null
10250,Text,,抖音分享,null
10251,Text,,邀请抖音好友,null
10252,Text,,支持作者,null
10253,Text,,"功能等审核通过后即可开启,请耐心等待……  ",null
10254,Text,,游戏交流企鹅群:473268983(内有福利和攻略哦),null
10255,Text,,提示:游戏内出现相关问题可加群找管理解决哦！,null
10256,Text,,"领取分享奖励,需要等级达到10级且在线时间达到30分钟即可",null
10257,Text,,普通模式,null
10258,Text,,困难模式,null
10259,Text,,地狱模式,null
10260,Text,,首胜奖励,null
10261,Text,,个人奖励,null
10262,Text,,技能介绍,null
10263,Text,,（已刷新）,null
10264,Text,,领主升级: 1/10,null
10265,Text,,怪物经验:,null
10266,Text,,技能介绍1111111111   技能介绍\n技能介绍技能介绍技能介绍\n技能介绍\n技能介绍\n技能介绍\n技能介绍\n技能介绍\n技能介绍,null
10267,Text,,等级：1,null
10268,Text,,技能,null
10269,Text,,次级领主,null
10270,Text,,领主等级:,null
10271,Text,,刷新时间：,null
10272,Text,,"提示:击败会获得1点领主经验,升级后领主掉落会增加，领主实力也会提升。",null
10273,Text,,钢铁护卫-丝里安,null
10274,Text,,好友列表,null
10275,Text,,正在玩家私聊中...,null
10276,Text,,发送消息,null
10277,Text,,狩猎剩余时间,null
10278,Text,,0分0秒,null
10279,Text,,玩家的名字,null
10280,Text,,狩猎的数量:999,null
10281,Text,,   2    玩家的名字,null
10282,Text,,      狩猎的数量:99,null
10283,Text,,狩猎规则,null
10284,Text,,"1. 活动期间怪物正常掉落,击败怪物不消耗体力。",null
10285,Text,,"2.活动期间,普通怪物的掉落率提升200%",null
10286,Text,,3.击败怪物等级不能低于自身9级。,null
10287,Text,,4.活动结束后奖励会通过邮件进行统一发放。,null
10288,Text,,类型：装备,null
10289,Text,,使用等级：30,null
10290,Text,,此装备由我制造,null
10291,Text,,鉴定打造的装备大概率出现隐藏属性,null
10292,Text,,未鉴定装备,null
10293,Text,,请消耗1个鉴定卷轴鉴定此装备,null
10294,Text,,当前品质：80,null
10295,Text,,当前附加生命：10-100,null
10296,Text,,品质越高开启封印的属性越好,null
10297,Text,,鉴定,null
10298,Text,,存储,null
10299,Text,,取消,null
10300,Text,,卸下宝石,null
10301,Text,,取回,null
10302,Text,,增加品质,null
10303,Text,,激活属性,null
10304,Text,,提示：每次制作成功菜肴，如果配方正确，可以领悟对应的食谱,null
10305,Text,,开始制作,null
10306,Text,,1. 使用不同的食材可以制造出不同的菜肴,null
10307,Text,,2.每种菜肴烹饪会有2-4种不同的材料构成,null
10308,Text,,3.商人也会在收购一些比较热销的商品哦,null
10309,Text,,制作烹饪,null
10310,Text,,请大师品尝,null
10311,Text,,"提示：当单条属性值超过80%时,每日凌晨属性会小浮动下降自己。",null
10312,Text,,商店购买,null
10313,Text,,剩余刷新时间:10:30,null
10314,Text,,"提示:点击散步的宠物可以喂食增加心情值,心情值越高获得奖励会越多。",null
10315,Text,,刷新,null
10316,Text,,刷新倒计时： 10:10:10,null
10317,Text,,附近,null
10318,Text,,好友,null
10319,Text,,采摘:10/10  \n打扫:10/10,null
10320,Text,,技能名称,null
10321,Text,,拔刀击技能提升1级,null
10322,Text,,觉醒经验：,null
10323,Text,,消耗金币： 100/500,null
10324,Text,,"提示:需要激活上方全部技能后可学习觉醒技能,觉醒经验为击败怪物获得。",null
10325,Text,,"关注公众号,获取更多序列号奖励哦！",null
10326,Text,,点击打开论坛,null
10327,Text,,游戏交流论坛,null
10328,Text,,提示: 每个评论只能领取一次奖励哦~,null
10329,Text,,"打开游戏论坛,交流游戏心得,寻找游戏攻略。\n论坛还会不定时举行游戏活动哦！",null
10330,Text,,世界领主活动开启,null
10331,Text,,活动提醒,null
10332,Text,,提示：每日凌晨重置当天的兑换次数,null
10333,Text,,活动介绍,null
10334,Text,,1.在宝藏之地每天20点21点22点3个时间点会刷新年兽。,null
10335,Text,,2.年兽出现时无法使用攻击对其造成伤害。,null
10336,Text,,3.需要使用鞭炮道具对年兽进行投掷造成伤害。,null
10337,Text,,4.鞭炮在击败怪物时和开启福字时有概率掉落。,null
10338,Text,,5.只要用鞭炮对年兽造成伤害，在击败年兽时即可掉落奖励。,null
10339,Text,,6.每天晚上21点15分，会在宝藏之地刷新年兽：夕，此怪物攻击可以造成伤害，击败时将掉落大量战利品喔！,null
10340,Text,,搜索,null
10341,Text,,输入搜索道具名称...,null
10342,Text,,物品,null
10343,Text,,价格,null
10344,Text,,剩余时间,null
10345,Text,,出售玩家,null
10346,Text,,下一页,null
10347,Text,,上一页,null
10348,Text,,提示: 金币兑换价随每日行情波动，每日都有新变化！,null
10349,Text,,兑换比例,null
10350,Text,,确认兑换,null
10351,Text,,兑换商品,null
10352,Text,,兑换金币,null
10353,Text,,消耗钻石,null
10354,Text,,材料,null
10355,Text,,取消上架,null
10356,Text,,已上架时间：,null
10357,Text,,我的背包,null
10358,Text,,上架道具,null
10359,Text,,提示：凌晨会进行刷新拍卖行价格,null
10360,Text,,购买道具,null
10361,Text,,提示:支持拖动宠物头像直接上阵哦！,null
10362,Text,,等级：9,null
10363,Text,,出战技,null
10364,Text,,主动技,null
10365,Text,,近战,null
10366,Text,,远程,null
10367,Text,,主动,null
10368,Text,,被动,null
10369,Text,,确认上阵,null
10370,Text,,重置,null
10371,Text,,宠物列表,null
10372,Text,,攻击栏位,null
10373,Text,,等级:9,null
10374,Text,,栏位列表,null
10375,Text,,消耗道具,null
10376,Text,,额外继承属性比例1%\n激活更多的栏位技能,null
10377,Text,,提升等级,null
10378,Text,,已经达到最大等级,null
10379,Text,,星级奖励,null
10380,Text,,调整阵容,null
10381,Text,,开始挑战,null
10382,Text,,今日进入次数:,null
10383,Text,,阵容搭配,null
10384,Text,,这里有许许多多的宝藏!,null
10385,Text,,开启抽取,null
10386,Text,,消耗,null
10387,Text,,提示:点击开始抽取即可随机列表中的一个奖励。,null
10388,Text,,开启位置,null
10389,Text,,需要道具,null
10390,Text,,开启等级：10级,null
10391,Text,,开启此为止可以提升攻击效果,null
10392,Text,,力量之源,null
10393,Text,,更换宠物,null
10394,Text,,提示：放置的宠物战力越高对应提升的属性越高,null
10395,Text,,宠物名字,null
10396,Text,,宠物战力,null
10397,Text,,攻击提升+10%,null
10398,Text,,增加属性,null
10399,Text,,当前总战力：,null
10400,Text,,距离激活下一级战力还差4000点,null
10401,Text,,激活(5/10),null
10402,Text,,说明,null
10403,Text,,掉落展示,null
10404,Text,,今日累计次数：1,null
10405,Text,,运气值,null
10406,Text,,提示：可以在此处探索，可获得宠物之核和稀有的宠物蛋道具,null
10407,Text,,奖励,null
10408,Text,,探索宠物,null
10409,Text,,探索十次,null
10410,Text,,宠物储藏,null
10411,Text,,道具储藏,null
10412,Text,,兑换宠物,null
10413,Text,,较小概率出现稀有的宠物蛋,null
10414,Text,,较大概率出现稀有的宠物蛋,null
10415,Text,,一定概率出现珍贵的宠物蛋,null
10416,Text,,孵化列表,null
10417,Text,,背包拥有宠物蛋:,null
10418,Text,,5个,null
10419,Text,,立即开启,null
10420,Text,,点击放置,null
10421,Text,,开始孵化,null
10422,Text,,领取,null
10423,Text,,剩余时间:\n,null
10424,Text,, 9小时11分钟,null
10425,Text,,宠物蛋,null
10426,Text,,宠物蛋列表,null
10427,Text,,森林白狼,null
10428,Text,,2级,null
10429,Text,,请点击选择需要放置的宠物,null
10430,Text,,生命,null
10431,Text,,物防,null
10432,Text,,魔防,null
10433,Text,,魔法,null
10434,Text,,成长,null
10435,Text,,融合,null
10436,Text,,预览合成,null
10437,Text,,合成说明,null
10438,Text,,探索宠物核心,null
10439,Text,,提示：可以在此处抽取，可获得宠物之核相关道具。,null
10440,Text,,宠核仓库,null
10441,Text,,生命资质,null
10442,Text,,攻击资质,null
10443,Text,,物防资质,null
10444,Text,,魔防资质,null
10445,Text,,魔法资质,null
10446,Text,,成长资质,null
10447,Text,,切换,null
10448,Text,,宠物技能,null
10449,Text,,宝宝,null
10450,Text,,变异,null
10451,Text,,神兽,null
10452,Text,,修改名称,null
10453,Text,,生命之核,null
10454,Text,,等级 1,null
10455,Text,,加点,null
10456,Text,,请输入名称...,null
10457,Text,,出战,null
10458,Text,,休息,null
10459,Text,,放生,null
10460,Text,,使用皮肤,null
10461,Text,,激活属性: 攻击+100,null
10462,Text,,已激活,null
10463,Text,,生命 361,null
10464,Text,,特殊属性,null
10465,Text,,宠物之核,null
10466,Text,,选择需要装备的宠物之核,null
10467,Text,,返 回,null
10468,Text,,合 成,null
10469,Text,,进攻能量,null
10470,Text,,卸下,null
10471,Text,,宠物加点,null
10472,Text,,属性加点,null
10473,Text,,当前剩余点数:,null
10474,Text,,确认属性,null
10475,Text,,力量,null
10476,Text,,智力,null
10477,Text,,体质,null
10478,Text,,耐力,null
10479,Text,,未进化,null
10480,Text,,青龙守护,null
10481,Text,,神兽同伴,null
10482,Text,,初级核心,null
10483,Text,,等级,null
10484,Text,,你还未拥有一只宠物,null
10485,Text,,编辑队伍,null
10486,Text,,当前方案,null
10487,Text,,当前主站位置,null
10488,Text,,开始匹配,null
10489,Text,,排名,null
10490,Text,,宠物挑战赛,null
10491,Text,,积分,null
10492,Text,,玩法说明,null
10493,Text,,1. 选择自己当前的宠物队伍进行匹配,null
10494,Text,,2.胜利异常增加一定分数,null
10495,Text,,3.匹配结束后会按照排名发放奖励,null
10496,Text,,辅战卡,null
10497,Text,,主战位置,null
10498,Text,,继承宠物自身的属性,null
10499,Text,,辅战位置,null
10500,Text,,辅战宠物自身的属性为自动生成,null
10501,Text,,魔法卡片,null
10502,Text,,调整主战,null
10503,Text,,调整辅战,null
10504,Text,,调整魔法,null
10505,Text,,已选择数量：0/6,null
10506,Text,,提示：长按技能图标可以显示技能描述,null
10507,Text,,确认,null
10508,Text,,黄金矿场,null
10509,Text,,白银矿场,null
10510,Text,,青铜矿场,null
10511,Text,,占领者:AAAAAAA,null
10512,Text,,黄金矿,null
10513,Text,,1000/时,null
10514,Text,,今日奖励,null
10515,Text,,我的队伍,null
10516,Text,,25级开始,null
10517,Text,,矿场记录,null
10518,Text,,拥有矿：,null
10519,Text,,金币产出：,null
10520,Text,,累计产出：,null
10521,Text,,850/小时,null
10522,Text,,当前拥有:5/5,null
10523,Text,,"提示:增加的守护属性和4个宠物评分相关,当前只能选择一种守护。",null
10524,Text,,属性附加命中率,null
10525,Text,,属性附加闪避率,null
10526,Text,,全属性附加抗暴率,null
10527,Text,,全属性附加暴击率,null
10528,Text,,改变守护,null
10529,Text,,提示:只有获得宝宝才能激活宠物图鉴喔！,null
10530,Text,,普通宠物,null
10531,Text,,体质资质,null
10532,Text,,宠物皮肤,null
10533,Text,,宠物洗练石,null
10534,Text,,选择使用的道具,null
10535,Text,,提示:对超过4个(含4个)技能的宠物使用技能书，必定会替换1个原始技能,null
10536,Text,,1级,null
10537,Text,,当前等级：1,null
10538,Text,,所有宠物攻击攻击提升100点,null
10539,Text,,点击确认,null
10540,Text,,请输入推广码...,null
10541,Text,,都啦啦,null
10542,Text,,推广码,null
10543,Text,,推广说明,null
10544,Text,,我的推广,null
10545,Text,,我的推广码：,null
10546,Text,,金币： 0,null
10547,Text,,钻石： 0,null
10548,Text,,"1. 被推广人等级达到30级,获得200000金币。",null
10549,Text,,"2. 被推广人等级达到40级,获得1000钻石。",null
10550,Text,,"3. 被推广人等级达到50级,获得1000钻石。",null
10551,Text,,4. 15级以内的玩家可以输入推广码。,null
10552,Text,,5. 单个账号的任意角色只能被推广1次。,null
10553,Text,,(点击可复制推广码),null
10554,Text,,装备锁定954800,null
10555,Text,,锁定装备,null
10556,Text,,解锁装备,null
10557,Text,,锁定规则,null
10558,Text,,1.装备锁定后不能出售。\n2.装备锁定后不能分解、熔炼。\n3.装备锁定后不能在拍卖行上出售。,null
10559,Text,,锁定宠物,null
10560,Text,,解锁宠物,null
10561,Text,,暂无宠物,null
10562,Text,,宠物加锁,null
10563,Text,,1.宠物锁定后不能洗炼。\n2.宠物锁定后不能合成。\n2.宠物锁定后不能放生。,null
10564,Text,,幸福的瞬间的队伍,null
10565,Text,,拥有者：我的胃很大很大,null
10566,Text,,战队战力：,null
10567,Text,,立即刷新,null
10568,Text,,我的队伍战力：,null
10569,Text,,天梯奖励,null
10570,Text,,当前排名,null
10571,Text,,挑战次数,null
10572,Text,,排行奖励,null
10573,Text,,提示: 排行奖励于周日24:00时根据当前排名发放奖励。,null
10574,Text,,提示: 排行奖励于每周二24:00和每周六24:00时凌晨根据当前排名发放。,null
10575,Text,,提示: 排行奖励于每周三和周日24:00时根据当前排名发放奖励。,null
10576,Text,,操作,null
10577,Text,,名字名字名字,null
10578,Text,,等级:0,null
10579,Text,,排行列表,null
10580,Text,,法师,null
10581,Text,,猎人排行,null
10582,Text,,争霸排行,null
10583,Text,,整理,null
10584,Text,,出售增幅,null
10585,Text,,白色孔位,null
10586,Text,,分解装备,null
10587,Text,,分解奖励,null
10588,Text,,分解列表,null
10589,Text,,一键放入,null
10590,Text,,背包列表,null
10591,Text,,体力,null
10592,Text,,活力,null
10593,Text,,抗性属性,null
10594,Text,,幸运值,null
10595,Text,,(提升攻击物防和物穿、攻速相关属性),null
10596,Text,,(提升技能伤害魔防和魔穿属性),null
10597,Text,,(提升生命和闪避、伤害减免相关属性),null
10598,Text,,(提升双防和抗暴、战斗回血相关属性),null
10599,Text,,敏捷,null
10600,Text,,(提升攻击和攻速、缩减技能冷却时间),null
10601,Text,,推荐,null
10602,Text,,部位列表,null
10603,Text,,头盔,null
10604,Text,,衣服,null
10605,Text,,裤子,null
10606,Text,,项链,null
10607,Text,,手套,null
10608,Text,,戒指,null
10609,Text,,腰带,null
10610,Text,,护符,null
10611,Text,,已经强化到最大等级,null
10612,Text,,提升属性,null
10613,Text,,使用幸运符,null
10614,Text,,对应部位的装备提升25的属性,null
10615,Text,,强化成功率：2%,null
10616,Text,,附加成功率：80%,null
10617,Text,,强化消耗,null
10618,Text,,提示：当共鸣值达到100%时，必定增加共鸣等级,null
10619,Text,,3级,null
10620,Text,,金币:,null
10621,Text,,头部强化+1,null
10622,Text,,装备共鸣,null
10623,Text,,装备传承,null
10624,Text,,传承消耗,null
10625,Text,,传承鉴定,null
10626,Text,,提示: 60级以上的传承装备可以在这里进行3次传承属性的鉴定。\n          饰品部位不能传承鉴定，传承鉴定无法转移。,null
10627,Text,,提示:点击鉴定会立即消耗材料,null
10628,Text,,同属性的传承鉴定只能生效1个喔！,null
10629,Text,,18级洗练家,null
10630,Text,,激活属性：,null
10631,Text,,攻击穿透——5%,null
10632,Text,,获得19级洗练家洗练之力，获得极品属性提升,null
10633,Text,,提示：每次洗练都可以获取对应的洗练熟练度,null
10634,Text,,激活奖励：,null
10635,Text,,当前洗炼经验,null
10636,Text,,激活技能：,null
10637,Text,,装备名字,null
10638,Text,,预计战力增长：100,null
10639,Text,,洗练五次,null
10640,Text,,开始洗炼,null
10641,Text,,今日累计次数：0,null
10642,Text,,我的装备,null
10643,Text,,转移装备需要放入紫色品质以上,null
10644,Text,,转移装备需要同类型和部位的装备,null
10645,Text,,左边的装备洗炼属性会清空转职至右边的装备,null
10646,Text,,一阶,null
10647,Text,,二阶,null
10648,Text,,三阶,null
10649,Text,,四阶,null
10650,Text,,鼠,null
10651,Text,,激活4/4：,null
10652,Text,,攻击+100,null
10653,Text,,1.每次捐选增加一定领主值。,null
10654,Text,,2.当领主值满后会在野外刷新赛季领主，掉落大量宝物。,null
10655,Text,,3.赛季领主为个人掉落。,null
10656,Text,,捐献,null
10657,Text,,当前您已捐献1次,null
10658,Text,,赛季领主,null
10659,Text,,领主值,null
10660,Text,,可能获得以下道具,null
10661,Text,,捐献道具,null
10662,Text,,2023第一赛季,null
10663,Text,,赛季之王,null
10664,Text,,出现位置:冰封城镇,null
10665,Text,,刷新时间:3天11小时11分,null
10666,Text,,查看领主,null
10667,Text,,1级赛季奖励,null
10668,Text,,本次赛季将于2025年10月1日重置,null
10669,Text,,赛季经验:500000/999999,null
10670,Text,,赛季规则,null
10671,Text,,1. 击败领主级的怪物获得经验。,null
10672,Text,,2.完成任务获得赛季经验。,null
10673,Text,,3.使用道具获得赛季经验。,null
10674,Text,,"4.当你和对方玩家进行挑战时,赛季等级高的一方会有属性加成。",null
10675,Text,,赛季等级,null
10676,Text,,"提示:所有晶核在赛季结束时会自动消失,晶核不计入战力统计",null
10677,Text,,方案,null
10678,Text,,开启晶核,null
10679,Text,,装备晶核,null
10680,Text,,赛季晶核孔位,null
10681,Text,,可以让玩家在本赛季拥有额外的赛季能力,null
10682,Text,,卸下晶核,null
10683,Text,,我的赛季币:,null
10684,Text,,赛季任务,null
10685,Text,,每周任务,null
10686,Text,,任务列表,null
10687,Text,,荣耀挑战,null
10688,Text,,当前任务进度:6/10,null
10689,Text,,任务描述,null
10690,Text,,任务奖励,null
10691,Text,,提交,null
10692,Text,,本周赛季排行,null
10693,Text,,名次,null
10694,Text,,姓名,null
10695,Text,,层数,null
10696,Text,,时间,null
10697,Text,,奖励预览,null
10698,Text,,赛季之塔,null
10699,Text,,挑战时间：,null
10700,Text,,3. 如果层数相同则按照当前挑战时间最短进行排序。,null
10701,Text,,1. 每周赛季之塔重置一次。,null
10702,Text,,2. 每周一0:00点，根据挑战的层数进行发放奖励。,null
10703,Text,,2小时2分35秒,null
10704,Text,,当前层数：,null
10705,Text,,进入赛季之塔,null
10706,Text,,11层,null
10707,Text,,前往评论,null
10708,Text,,请输入序列号...,null
10709,Text,,序列号奖励,null
10710,Text,,技能设置,null
10711,Text,,关闭游戏,null
10712,Text,,返回登录,null
10713,Text,,游戏版本号：,null
10714,Text,,上次登录时间:,null
10715,Text,,游戏难度,null
10716,Text,,2022年5月22日,null
10717,Text,,游戏音效,null
10718,Text,,游戏音乐,null
10719,Text,,关,null
10720,Text,,开,null
10721,Text,,高帧模式,null
